sample_number,site_id,date,lake,site_type,depth_category,method,toxin_class,total
233,BKS_BL_BU_DD,2025-08-06,brooks,buoy,bottom,grab,anatoxin,0
233,BKS_BL_BU_DD,2025-08-06,brooks,buoy,bottom,grab,cylindrospermopsin,0
233,BKS_BL_BU_DD,2025-08-06,brooks,buoy,bottom,grab,microcystin,0
233,BKS_BL_BU_DD,2025-08-06,brooks,buoy,bottom,grab,nodularin,0
234,BKS_UB_SH_08,2025-08-05,upper brooks,shore,NA,grab,anatoxin,0
234,BKS_UB_SH_08,2025-08-05,upper brooks,shore,NA,grab,cylindrospermopsin,0
234,BKS_UB_SH_08,2025-08-05,upper brooks,shore,NA,grab,microcystin,0.70079048
234,BKS_UB_SH_08,2025-08-05,upper brooks,shore,NA,grab,nodularin,0
235,BKS_UB_SH_09,2025-08-05,upper brooks,shore,NA,grab,anatoxin,1.920470741
235,BKS_UB_SH_09,2025-08-05,upper brooks,shore,NA,grab,cylindrospermopsin,0
235,BKS_UB_SH_09,2025-08-05,upper brooks,shore,NA,grab,microcystin,0
235,BKS_UB_SH_09,2025-08-05,upper brooks,shore,NA,grab,nodularin,0
236,BKS_UB_BU_SS,2025-08-05,upper brooks,buoy,surface,grab,anatoxin,0
236,BKS_UB_BU_SS,2025-08-05,upper brooks,buoy,surface,grab,cylindrospermopsin,0
236,BKS_UB_BU_SS,2025-08-05,upper brooks,buoy,surface,grab,microcystin,0
236,BKS_UB_BU_SS,2025-08-05,upper brooks,buoy,surface,grab,nodularin,0
237,BKS_UB_BU_DD,2025-08-05,upper brooks,buoy,bottom,grab,anatoxin,0
237,BKS_UB_BU_DD,2025-08-05,upper brooks,buoy,bottom,grab,cylindrospermopsin,0
237,BKS_UB_BU_DD,2025-08-05,upper brooks,buoy,bottom,grab,microcystin,0
237,BKS_UB_BU_DD,2025-08-05,upper brooks,buoy,bottom,grab,nodularin,0
238,BKS_RN_SH_10,2025-08-05,rainbow,shore,NA,grab,anatoxin,0
238,BKS_RN_SH_10,2025-08-05,rainbow,shore,NA,grab,cylindrospermopsin,0
238,BKS_RN_SH_10,2025-08-05,rainbow,shore,NA,grab,microcystin,1.562600222
238,BKS_RN_SH_10,2025-08-05,rainbow,shore,NA,grab,nodularin,0
239,BKS_RN_BU_SS,2025-08-05,rainbow,buoy,surface,grab,anatoxin,0
239,BKS_RN_BU_SS,2025-08-05,rainbow,buoy,surface,grab,cylindrospermopsin,0
239,BKS_RN_BU_SS,2025-08-05,rainbow,buoy,surface,grab,microcystin,1.858096818
239,BKS_RN_BU_SS,2025-08-05,rainbow,buoy,surface,grab,nodularin,0
240,BKS_RN_BU_DD,2025-08-05,rainbow,buoy,bottom,grab,anatoxin,0
240,BKS_RN_BU_DD,2025-08-05,rainbow,buoy,bottom,grab,cylindrospermopsin,0
240,BKS_RN_BU_DD,2025-08-05,rainbow,buoy,bottom,grab,microcystin,0.576161346
240,BKS_RN_BU_DD,2025-08-05,rainbow,buoy,bottom,grab,nodularin,0
241,BKS_LJ_BU_SS,2025-08-05,lower jade,buoy,surface,grab,anatoxin,0
241,BKS_LJ_BU_SS,2025-08-05,lower jade,buoy,surface,grab,cylindrospermopsin,0
241,BKS_LJ_BU_SS,2025-08-05,lower jade,buoy,surface,grab,microcystin,0
241,BKS_LJ_BU_SS,2025-08-05,lower jade,buoy,surface,grab,nodularin,0
242,BKS_LJ_BU_DD,2025-08-05,lower jade,buoy,bottom,grab,anatoxin,0
242,BKS_LJ_BU_DD,2025-08-05,lower jade,buoy,bottom,grab,cylindrospermopsin,0
242,BKS_LJ_BU_DD,2025-08-05,lower jade,buoy,bottom,grab,microcystin,0
242,BKS_LJ_BU_DD,2025-08-05,lower jade,buoy,bottom,grab,nodularin,0
245,BYS_BR_SH_01,2025-08-04,boysen,shore,NA,grab,anatoxin,0
