sample_number,site_id,date,method,sample_type,status,lake,site_type,depth_category,has_grab_result,has_spatt_result,status_final
201,BKS_BL_BON,2025-08-06,spatt,regular,collected,brooks,NA,NA,FALSE,FALSE,collected
202,BKS_BL_CREEK,2025-08-06,spatt,regular,collected,brooks,NA,NA,FALSE,FALSE,collected
203,BKS_BL_BU_SS,2025-08-06,spatt,regular,shipped,brooks,buoy,surface,FALSE,TRUE,analyzed
204,BKS_BL_BU_DD,2025-08-06,spatt,regular,shipped,brooks,buoy,bottom,FALSE,TRUE,analyzed
205,BKS_UB_SH_08,2025-08-05,spatt,regular,shipped,upper brooks,shore,NA,FALSE,TRUE,analyzed
206,BKS_UB_SH_09,2025-08-05,spatt,regular,shipped,upper brooks,shore,NA,FALSE,TRUE,analyzed
207,BKS_UB_BU_SS,2025-08-05,spatt,regular,shipped,upper brooks,buoy,surface,FALSE,TRUE,analyzed
208,BKS_UB_BU_DD,2025-08-05,spatt,regular,shipped,upper brooks,buoy,bottom,FALSE,TRUE,analyzed
209,BKS_RN_SH_10,2025-08-05,spatt,regular,shipped,rainbow,shore,NA,FALSE,TRUE,analyzed
210,BKS_RN_BU_SS,2025-08-05,spatt,regular,shipped,rainbow,buoy,surface,FALSE,TRUE,analyzed
211,BKS_RN_BU_DD,2025-08-05,spatt,regular,shipped,rainbow,buoy,bottom,FALSE,TRUE,analyzed
212,BKS_LJ_BU_SS,2025-08-05,spatt,regular,shipped,lower jade,buoy,surface,FALSE,TRUE,analyzed
213,BKS_LJ_BU_DD,2025-08-05,spatt,regular,shipped,lower jade,buoy,bottom,FALSE,TRUE,analyzed
214,BKS_RN_SH_10,2025-08-05,spatt,duplicate,shipped,rainbow,shore,NA,FALSE,TRUE,analyzed
215,BYS_BR_SH_01,2025-08-04,spatt,regular,shipped,boysen,shore,NA,FALSE,TRUE,analyzed
216,BYS_PC_SH_02,2025-08-04,spatt,regular,shipped,boysen,shore,NA,FALSE,TRUE,analyzed
217,BYS_FR_SH_03,2025-08-04,spatt,regular,lost,boysen,shore,NA,FALSE,FALSE,lost
218,BYS_CR_SH_04,2025-08-04,spatt,regular,shipped,boysen,shore,NA,FALSE,FALSE,missing
219,BYS_BY_BU_SS,2025-08-04,spatt,regular,not collected,boysen,buoy,surface,FALSE,FALSE,not collected
220,BYS_BY_BU_DD,2025-08-04,spatt,regular,not collected,boysen,buoy,bottom,FALSE,FALSE,not collected
221,BYS_CR_SH_04,2025-08-04,spatt,duplicate,shipped,boysen,shore,NA,FALSE,FALSE,missing
222,SPATT_BLANK,2025-08-07,spatt,blank,shipped,blank,NA,NA,FALSE,FALSE,missing
223,BKS_BL_SH_01,2025-08-04,grab,regular,shipped,brooks,shore,NA,TRUE,FALSE,analyzed
